indiv_id,F_income90,F_attn_sm_college,income00,attn_sm_college,age,male,female,white,black,other,married,num_siblings,birth_weight
2615051,45310,1,3236,0,20,1,0,1,0,0,0,2,109
2615053,45310,1,7200,1,17,0,1,1,0,0,0,2,106
2615054,29518,1,162,0,16,0,1,1,0,0,0,2,130
2615055,7057,0,12600,0,17,0,1,1,0,0,0,2,101
2618040,95094,0,41600,0,18,1,0,1,0,0,0,3,120
2655033,21040,1,23157,1,25,0,1,1,0,0,0,1,135
2665040,10147,1,12600,0,19,1,0,0,1,0,0,2,124
2672032,70105,1,14934,1,29,1,0,0,0,1,1,1,120
2701056,7479,1,1877,0,19,0,1,0,1,0,0,3,998
2726031,203377,1,63000,1,23,1,0,1,0,0,0,3,84
2831034,80792,1,35000,1,19,1,0,1,0,0,0,2,128
2852057,3321,1,3559,0,19,1,0,1,0,0,0,3,149
2852053,44483,0,16494,0,23,1,0,1,0,0,0,3,126
2897039,47547,0,21000,0,17,0,1,1,0,0,0,2,135
2897197,47547,0,1340,0,18,1,0,1,0,0,0,2,999
2897198,47547,0,20000,0,17,0,1,1,0,0,0,2,999
5264032,80612,1,12600,1,24,0,1,0,1,0,0,2,113
5290187,43723,1,35050,1,29,1,0,0,1,0,0,1,998
5299049,147056,0,12600,1,29,0,1,0,0,1,0,5,998
5305038,12176,1,1546,0,16,1,0,0,1,0,0,3,128
5440033,47525,0,27000,1,24,0,1,1,0,0,0,1,123
5464037,2851,0,33280,1,38,0,1,0,1,0,0,1,88
5527031,35704,0,11699,0,22,0,1,0,1,0,0,3,86
5537054,3962,1,30000,0,19,0,1,0,1,0,0,3,112
5553034,88554,1,2000,1,18,0,1,0,1,0,0,1,106
5573193,39667,0,12674,0,20,1,0,0,1,0,0,4,998
5573192,39667,0,17600,0,22,0,1,0,1,0,0,4,998
5621036,22138,1,12600,1,21,0,1,0,1,0,0,3,130
5750030,50,0,11699,0,37,1,0,0,1,0,0,8,88
5821030,55346,1,23727,1,24,0,1,0,1,0,0,1,106
5921032,44277,1,14432,0,22,0,1,0,1,0,0,5,116
5926035,119195,0,11864,1,25,0,1,0,1,0,0,2,120
5926032,76039,0,11109,0,29,1,0,0,1,0,0,2,142
5960047,53490,1,30926,0,23,0,1,0,1,0,0,2,100
6030185,7925,0,63000,1,23,0,1,0,1,0,0,5,998
6030040,7925,0,35000,0,17,0,1,0,1,0,0,5,96
6121209,7970,0,3093,1,19,1,0,0,0,1,0,1,998
6157032,47525,0,11340,0,17,1,0,0,1,0,0,1,137
6165039,1807,0,22410,0,19,1,0,0,1,0,0,6,57
6165181,1807,0,17600,1,23,0,1,0,1,0,0,6,998
6171200,134717,1,4123,1,19,1,0,0,1,0,0,1,998
6200038,77485,1,36080,1,28,1,0,0,1,0,0,2,110
6200037,77485,1,21570,1,29,1,0,0,1,0,0,2,998
6200040,41135,1,41235,1,24,1,0,0,1,0,0,1,141
6233043,7590,1,4948,0,17,0,1,0,1,0,0,1,998
6262040,23983,1,14040,0,16,0,1,0,1,0,0,2,108
6413040,64570,0,26963,1,27,1,0,0,1,0,0,1,138
6434032,16912,1,324,1,19,0,1,0,1,0,0,1,116
6546038,57191,1,11340,1,19,1,0,0,0,1,0,2,80
6571040,5535,0,12600,0,20,0,1,0,1,0,0,4,115
6571038,5535,0,25772,0,22,1,0,0,1,0,0,4,108
6571174,42238,1,11699,0,27,0,1,0,1,0,0,2,998
6577041,29717,0,20617,1,26,0,1,0,1,0,0,2,105
6626036,55346,1,35050,1,26,0,1,0,1,0,0,4,998
6626034,64570,0,15463,1,30,1,0,0,1,0,0,3,131
6626040,29955,0,1546,1,20,1,0,0,1,0,0,1,91
6750184,48538,1,11699,1,27,0,1,0,1,0,0,3,998
6780040,1727,0,20000,0,18,0,1,0,0,1,0,3,998
6845185,1711,1,12058,0,20,0,1,0,1,0,0,4,998
6845044,1711,1,5544,0,21,0,1,0,1,0,0,4,127
